model,window_size,alpha,viol_exp,failure_rate,avg_var,kupiec_pvalue,christoffersen_ind_pvalue,lopez_loss
Ordinary HS,250,0.01,72 / 43.9,0.0164,-0.0284,0.0001,0.037,0.016404
Ordinary HS,250,0.05,237 / 219.5,0.054,-0.018,0.2313,0.0,0.053995
Ordinary HS,250,0.1,450 / 439.0,0.1025,-0.0129,0.5814,0.0001,0.102522
Time-weighted HS,250,0.01,72 / 43.9,0.0164,-0.0275,0.0001,0.037,0.016402
Time-weighted HS,250,0.05,232 / 219.5,0.0528,-0.0177,0.3909,0.0998,0.052853
Time-weighted HS,250,0.1,438 / 439.0,0.0998,-0.0129,0.9599,0.124,0.099783
KDE Time-weighted HS,250,0.01,54 / 43.9,0.0123,-0.0289,0.1392,0.0323,0.012302
KDE Time-weighted HS,250,0.05,194 / 219.5,0.0442,-0.0188,0.0719,0.0069,0.044196
KDE Time-weighted HS,250,0.1,383 / 439.0,0.0872,-0.0139,0.0041,0.0517,0.087253
Ordinary HS,500,0.01,67 / 41.4,0.0162,-0.0303,0.0002,0.0049,0.016187
Ordinary HS,500,0.05,214 / 207.0,0.0517,-0.0182,0.6195,0.0,0.051702
Ordinary HS,500,0.1,396 / 414.0,0.0957,-0.0129,0.3479,0.0,0.095671
Time-weighted HS,500,0.01,67 / 41.4,0.0162,-0.027,0.0002,0.0273,0.016185
Time-weighted HS,500,0.05,218 / 207.0,0.0527,-0.0174,0.4366,0.106,0.052662
Time-weighted HS,500,0.1,412 / 414.0,0.0995,-0.0126,0.9174,0.2354,0.099528
KDE Time-weighted HS,500,0.01,51 / 41.4,0.0123,-0.0283,0.1479,0.0274,0.01232
KDE Time-weighted HS,500,0.05,186 / 207.0,0.0449,-0.0185,0.1279,0.0129,0.044932
KDE Time-weighted HS,500,0.1,362 / 414.0,0.0874,-0.0136,0.006,0.053,0.087449
Ordinary HS,1000,0.01,56 / 36.4,0.0154,-0.0334,0.0025,0.0002,0.015389
Ordinary HS,1000,0.05,177 / 182.0,0.0486,-0.0187,0.7025,0.0004,0.048641
Ordinary HS,1000,0.1,303 / 364.0,0.0832,-0.0129,0.0005,0.0,0.083265
Time-weighted HS,1000,0.01,61 / 36.4,0.0168,-0.0264,0.0002,0.0218,0.016759
Time-weighted HS,1000,0.05,193 / 182.0,0.053,-0.0169,0.4072,0.2366,0.053027
Time-weighted HS,1000,0.1,371 / 364.0,0.1019,-0.012,0.6998,0.3569,0.101935
KDE Time-weighted HS,1000,0.01,47 / 36.4,0.0129,-0.0276,0.0911,0.0246,0.012913
KDE Time-weighted HS,1000,0.05,167 / 182.0,0.0459,-0.0178,0.2476,0.0638,0.045884
KDE Time-weighted HS,1000,0.1,327 / 364.0,0.0898,-0.0129,0.0379,0.1349,0.089845
