model_name,base_model,alpha,n_forecasts,violations,expected_violations,failure_rate,avg_var,kupiec_p,christoffersen_p,duration_p,lopez_loss,pinball_loss,crossing_rate,conservative_scale
Model C2 scale=0.75,"GARCH(1,1)-t",0.01,2640,35,26.400000000000002,0.013257575757575758,-0.031478120590856466,0.10909980263213792,0.0880105142441282,0.8677424112389743,0.013258353901693325,0.00039253827210641536,0.011363636363636364,0.75
Model C2 scale=0.75,"GARCH(1,1)-t",0.05,2640,160,132.0,0.06060606060606061,-0.020387007937780723,0.015376792735782407,0.33409802927034726,0.4570183949635078,0.06061120819411623,0.0014269713637693612,0.011363636363636364,0.75
Model C2 scale=0.75,"GARCH(1,1)-t",0.1,2640,281,264.0,0.10643939393939394,-0.012978411671903098,0.2745538714872686,0.2207534938784479,0.08197833805076549,0.10645006573649424,0.0020617677818262937,0.011363636363636364,0.75
Model C2 scale=1,"GARCH(1,1)-t",0.01,2640,36,26.400000000000002,0.013636363636363636,-0.02747359065070861,0.07516520998486143,0.09846514420951047,0.3580106758637063,0.01363717881846732,0.0003565675675293142,0.006060606060606061,1.0
Model C2 scale=1,"GARCH(1,1)-t",0.05,2640,163,132.0,0.061742424242424244,-0.017053492344690092,0.0074801109949127476,0.27860368163107263,0.5489591434635297,0.06174820614578597,0.0012843263052473885,0.006060606060606061,1.0
Model C2 scale=1,"GARCH(1,1)-t",0.1,2640,283,264.0,0.1071969696969697,-0.012700228549532988,0.22251237061234308,0.12703857423016252,0.07497585031001575,0.10720935736935527,0.0020807925099780946,0.006060606060606061,1.0
Model C2 scale=1.25,"GARCH(1,1)-t",0.01,2640,38,26.400000000000002,0.014393939393939395,-0.027233258531795757,0.03325808362392901,0.12180968269830583,0.5698850309804449,0.014394737286272068,0.0003537987597317626,0.004545454545454545,1.25
Model C2 scale=1.25,"GARCH(1,1)-t",0.05,2640,166,132.0,0.06287878787878788,-0.016872191824421116,0.0034500452267430815,0.40263427434733723,0.5655771740672447,0.06288448734692514,0.0012766662193775622,0.004545454545454545,1.25
Model C2 scale=1.25,"GARCH(1,1)-t",0.1,2640,285,264.0,0.10795454545454546,-0.012544998967363923,0.1780292237003842,0.10760545121392484,0.03530800366562037,0.10796673293385908,0.0020631820581788695,0.004545454545454545,1.25
Model C2 scale=1.5,"GARCH(1,1)-t",0.01,2640,37,26.400000000000002,0.014015151515151515,-0.027333141152859862,0.05058269194582632,0.10972460732904721,0.6995447104174737,0.014015934456682,0.0003528069329747077,0.006439393939393939,1.5
Model C2 scale=1.5,"GARCH(1,1)-t",0.05,2640,164,132.0,0.06212121212121212,-0.01698687406041603,0.005813572609977502,0.26163490178528703,0.6151423982011692,0.0621268794030798,0.0012802646453558774,0.006439393939393939,1.5
Model C2 scale=1.5,"GARCH(1,1)-t",0.1,2640,284,264.0,0.10757575757575757,-0.012652719079492133,0.19935393045678085,0.11700208425124747,0.041337393936025535,0.1075879304325524,0.0020699725362700347,0.006439393939393939,1.5
