model_name,base_model,alpha,n_forecasts,violations,expected_violations,failure_rate,avg_var,kupiec_p,christoffersen_p,duration_p,lopez_loss,pinball_loss,crossing_rate,conservative_scale,weight_decay
Model C2 wd=0,"GARCH(1,1)-t",0.01,2640,36,26.400000000000002,0.013636363636363636,-0.02747359065070861,0.07516520998486143,0.09846514420951047,0.3580106758637063,0.01363717881846732,0.0003565675675293142,0.006060606060606061,1.0,0.0
Model C2 wd=0,"GARCH(1,1)-t",0.05,2640,163,132.0,0.061742424242424244,-0.017053492344690092,0.0074801109949127476,0.27860368163107263,0.5489591434635297,0.06174820614578597,0.0012843263052473885,0.006060606060606061,1.0,0.0
Model C2 wd=0,"GARCH(1,1)-t",0.1,2640,283,264.0,0.1071969696969697,-0.012700228549532988,0.22251237061234308,0.12703857423016252,0.07497585031001575,0.10720935736935527,0.0020807925099780946,0.006060606060606061,1.0,0.0
Model C2 wd=1e-05,"GARCH(1,1)-t",0.01,2640,25,26.400000000000002,0.00946969696969697,-0.02973654948838168,0.7823192744704789,0.23635105152870417,0.9807133930107463,0.009470206761499504,0.00034826885641184427,0.0011363636363636363,1.0,1e-05
Model C2 wd=1e-05,"GARCH(1,1)-t",0.05,2640,127,132.0,0.048106060606060604,-0.01865916871889071,0.6532773772871012,0.6266255369403524,0.8208796304241268,0.04811010894532036,0.0012590634429375184,0.0011363636363636363,1.0,1e-05
Model C2 wd=1e-05,"GARCH(1,1)-t",0.1,2640,238,264.0,0.09015151515151515,-0.014058283360667922,0.08681042662325666,0.40023475983192136,0.3693082584149655,0.09016055724540448,0.002057698048840891,0.0011363636363636363,1.0,1e-05
Model C2 wd=0.0001,"GARCH(1,1)-t",0.01,2640,9,26.400000000000002,0.003409090909090909,-0.034458269985660796,8.0561276285529e-05,0.8039892700057041,0.8031698856993729,0.0034092509919605453,0.000364845215661411,0.0,1.0,0.0001
Model C2 wd=0.0001,"GARCH(1,1)-t",0.05,2640,96,132.0,0.03636363636363636,-0.0205705267266074,0.0007459266900370354,0.7825425494407307,0.6069963211010616,0.036367185636023175,0.0012976865238950443,0.0,1.0,0.0001
Model C2 wd=0.0001,"GARCH(1,1)-t",0.1,2640,201,264.0,0.07613636363636364,-0.015036726736103777,2.1484924792480875e-05,0.9316359513543657,0.6480592645092724,0.07614570855663759,0.0021024564637681406,0.0,1.0,0.0001
Model C2 wd=0.0005,"GARCH(1,1)-t",0.01,2640,1,26.400000000000002,0.0003787878787878788,-0.053844182414821154,2.5444535367569188e-11,0.9780334023751514,,0.00037880039405971633,0.0005429798423315308,0.0,1.0,0.0005
Model C2 wd=0.0005,"GARCH(1,1)-t",0.05,2640,51,132.0,0.019318181818181818,-0.026799824486035063,2.220446049250313e-16,0.09332949314981809,0.03451401286135747,0.019319220818123064,0.0014534660506597828,0.0,1.0,0.0005
Model C2 wd=0.0005,"GARCH(1,1)-t",0.1,2640,111,264.0,0.042045454545454546,-0.019928952706554398,0.0,0.7409162596787158,0.3926208592961916,0.04204951114498254,0.0023093635328282174,0.0,1.0,0.0005
