model,alpha,n_obs,n_violations,expected_violations,failure_rate,kupiec_pvalue,christoffersen_ind_pvalue,avg_var,pinball_loss,lopez_loss_decimal,lopez_loss_percent
Ordinary HS,0.01,2640,41,26.400000000000002,0.01553030303030303,0.008248223575760272,0.00033476989149827663,-0.035963874111336835,0.0005783877708198283,0.015536334549664714,0.07584549664714316
Ordinary HS,0.05,2640,140,132.0,0.05303030303030303,0.4791112889276643,0.001216792178606374,-0.019553352001245427,0.001650141262203525,0.05304949538683082,0.24495386830812788
Ordinary HS,0.1,2640,252,264.0,0.09545454545454546,0.43312978408237235,1.5823679058835083e-05,-0.012993125308884725,0.002426004099212352,0.09548428310344219,0.39283103442180334
Time-weighted HS,0.01,2640,41,26.400000000000002,0.01553030303030303,0.008248223575760272,0.027547977034561577,-0.029795466204199286,0.0004099770417121786,0.015531756079582081,0.030060795820816714
Time-weighted HS,0.05,2640,136,132.0,0.051515151515151514,0.7222058731230333,0.6988093658967516,-0.018719205178161592,0.0013285940213797302,0.05152160166961603,0.11601669616021949
Time-weighted HS,0.1,2640,268,264.0,0.10151515151515152,0.7956962366621289,0.7059057075380002,-0.013058320022603303,0.0021240605312923947,0.10152938446204393,0.24384462043921576
KDE Time-weighted HS,0.01,2640,36,26.400000000000002,0.013636363636363636,0.07516520998486143,0.012730258749938828,-0.03103678915025315,0.00039961158097264664,0.013637496106641115,0.02496106641114806
KDE Time-weighted HS,0.05,2640,119,132.0,0.045075757575757575,0.23810101573080356,0.2640043742280541,-0.019714396576811285,0.0013347031873420449,0.045081520642779406,0.1027064277940696
KDE Time-weighted HS,0.1,2640,233,264.0,0.08825757575757576,0.040558876506805674,0.41706607276776575,-0.014181671035971842,0.002118602746157297,0.08826960752141125,0.20857521411241317
GARCH-t,0.01,2640,41,26.400000000000002,0.01553030303030303,0.008248223575760272,0.16318763560005622,-0.026969961892450336,0.00035594184070608594,0.015531137974052107,0.02387974052105038
GARCH-t,0.05,2640,173,132.0,0.06553030303030304,0.0004619379716886973,0.26541320586635864,-0.016366392998944344,0.0012902956326692775,0.0655366012920414,0.12851292041408457
GARCH-t,0.1,2640,303,264.0,0.11477272727272728,0.013211197846171863,0.05348996002749418,-0.011911862019155655,0.002069236144808895,0.1147862147326401,0.24964732640081488
GJR-GARCH-t,0.01,2640,38,26.400000000000002,0.014393939393939395,0.03325808362392901,0.576826002928374,-0.026812167090504657,0.00033649265205621423,0.014394585010034683,0.02085010034682375
GJR-GARCH-t,0.05,2640,174,132.0,0.0659090909090909,0.00033865651621078907,0.2489091124229127,-0.016675852031744532,0.0012547465032549511,0.06591430007635997,0.1180007635997669
GJR-GARCH-t,0.1,2640,296,264.0,0.11212121212121212,0.04129538231905849,0.021376473819511577,-0.012299723812024432,0.0020410476121712063,0.11213295037792395,0.2295037792395787
GARCH-X-rv5-t,0.01,2640,48,26.400000000000002,0.01818181818181818,0.00015006767282133016,0.2906627950191242,-0.025762265672579936,0.00033737628639963173,0.018182481599902683,0.02481599902684414
GARCH-X-rv5-t,0.05,2640,184,132.0,0.0696969696969697,1.1106868516796986e-05,0.5748943661129879,-0.016253955672105108,0.0012329149951809722,0.06970181483324127,0.11814833241264927
GARCH-X-rv5-t,0.1,2640,304,264.0,0.11515151515151516,0.011076518938883062,0.11385382427928703,-0.012061193221771504,0.002022045975263161,0.11516266535301102,0.22665353011023934
GARCH-X-bv-t,0.01,2640,52,26.400000000000002,0.019696969696969695,9.794625581593941e-06,0.9801201567191772,-0.025397116535586305,0.00033000049596355516,0.019697585709697416,0.025857096974143554
GARCH-X-bv-t,0.05,2640,176,132.0,0.06666666666666667,0.0001789083682011139,0.5783179928842548,-0.016111644896304136,0.0012218686421967982,0.06667134689808885,0.11346898088854258
GARCH-X-bv-t,0.1,2640,298,264.0,0.11287878787878788,0.03032237383396752,0.4717026064951184,-0.011984909298542448,0.0020065994675213064,0.11288966083834885,0.22160838348845263
Model C2,0.01,2640,25,26.400000000000002,0.00946969696969697,0.7823192744704789,0.021741825418807204,-0.02963439910778433,0.0003495592741150228,0.009470221151195562,0.014711511955603175
Model C2,0.05,2640,131,132.0,0.04962121212121212,0.9287583693442721,0.5195657943652481,-0.018702668273137046,0.001266483870158121,0.049625288810731166,0.09038810731173003
Model C2,0.1,2640,235,264.0,0.08901515151515152,0.05567886650769094,0.4736895175882547,-0.014140022489432705,0.002069091066202221,0.08902423196879007,0.17981968790061512
